id;name;text;answer_required
1;Hat;supply-chains magenta;false
2;24/7;Gloves sky blue Oklahoma;false
3;Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;false
4;Personal Loan Account;paradigms Home;false
5;deposit Canadian Dollar Lebanon;Designer Persistent;true
6;navigate;Re-contextualized;true
7;Point Orchestrator;Solomon Islands Licensed;true
8;installation;Argentine Peso;true
9;neural-net red;Buckinghamshire Future-proofed deposit;false
10;Yen synthesize Creative;Forint;true
